feature,importance
cat__publication_year_1896.0,1.079722785140299e-07
cat__publication_year_1864.0,1.0711411741355103e-07
cat__publication_year_1774.0,1.0673091878862481e-07
cat__publication_year_1866.0,1.0056898928683323e-07
cat__publication_year_1903.0,9.595336784894823e-08
cat__publication_year_1879.0,9.160213120925782e-08
cat__publication_year_1892.0,9.103096195466044e-08
cat__publication_year_1877.0,8.870326855403883e-08
cat__publication_year_1893.0,8.818662066208593e-08
cat__publication_year_1860.0,8.285986957122968e-08
cat__publication_year_1927.0,8.00589795856025e-08
cat__publication_year_1729.0,7.587687058892097e-08
cat__publication_year_1722.0,6.99995388298369e-08
cat__publication_year_1885.0,6.424481399248628e-08
cat__publication_year_1831.0,5.369327589393416e-08
cat__publication_year_1920.0,5.20780869639744e-08
cat__publication_year_1851.0,4.685807490835649e-08
cat__publication_year_1919.0,3.870148696654793e-08
cat__publication_year_1880.0,3.6164617328300534e-08
cat__publication_year_1883.0,3.5526285387543466e-08
cat__publication_decade_1790.0,3.203343731126573e-08
cat__publication_decade_1690.0,2.8510976510573635e-08
cat__publication_year_1819.0,1.40298451045868e-08
cat__publication_year_1876.0,6.564722505772336e-09
cat__publication_year_1814.0,3.4123005205388235e-09
cat__publication_year_1881.0,3.3272354665914626e-09
cat__publication_year_1907.0,0.0
remainder__external_popularity_score_was_missing,0.0
cat__publication_year_1837.0,0.0
cat__publication_year_1838.0,0.0
cat__publication_decade_1710.0,0.0
cat__publication_year_1857.0,0.0
cat__publication_decade_1720.0,0.0
cat__publication_year_1846.0,0.0
cat__publication_year_1923.0,0.0
cat__publication_year_1852.0,0.0
cat__publication_year_1878.0,0.0
cat__publication_year_1855.0,0.0
cat__publication_year_1898.0,0.0
cat__publication_decade_1740.0,0.0
cat__publication_year_1850.0,0.0
remainder__external_rating_was_missing,0.0
cat__publication_year_1719.0,0.0
cat__publication_year_1836.0,0.0
cat__publication_year_1767.0,0.0
cat__publication_year_1813.0,0.0
cat__publication_year_1787.0,0.0
cat__publication_year_1781.0,0.0
cat__publication_year_2020.0,0.0
cat__publication_year_1832.0,0.0
cat__publication_decade_1670.0,0.0
cat__publication_decade_1750.0,0.0
cat__publication_year_1791.0,0.0
cat__publication_year_1871.0,0.0
cat__publication_year_1762.0,0.0
cat__publication_year_1759.0,0.0
cat__publication_year_1749.0,0.0
cat__publication_year_1874.0,0.0
cat__publication_year_1726.0,0.0
cat__publication_year_1764.0,0.0
