feature,importance
cat__publication_year_1759.0,0.0
cat__publication_year_1767.0,0.0
cat__publication_year_1841.0,0.0
cat__publication_year_1850.0,0.0
cat__publication_decade_1740.0,0.0
cat__publication_year_1853.0,0.0
cat__publication_year_1854.0,0.0
cat__publication_year_1831.0,0.0
cat__publication_year_1832.0,0.0
cat__publication_year_1933.0,0.0
cat__publication_year_1921.0,0.0
cat__publication_year_1917.0,0.0
cat__publication_year_1907.0,0.0
cat__publication_year_1904.0,0.0
cat__publication_year_1902.0,0.0
cat__publication_year_1894.0,0.0
cat__publication_year_1893.0,0.0
cat__publication_year_1892.0,0.0
cat__publication_year_1819.0,0.0
cat__publication_year_1888.0,0.0
cat__publication_year_1814.0,0.0
cat__publication_year_1885.0,0.0
cat__publication_year_1883.0,0.0
cat__publication_decade_1670.0,0.0
cat__publication_decade_1690.0,0.0
cat__publication_year_1878.0,0.0
cat__publication_year_1877.0,0.0
cat__publication_decade_1790.0,0.0
cat__publication_year_1874.0,0.0
cat__publication_decade_1820.0,0.0
cat__publication_year_1864.0,0.0
cat__publication_year_1862.0,0.0
cat__publication_year_1860.0,0.0
cat__publication_year_1855.0,0.0
cat__publication_year_1833.0,0.0
